draw_number_k,samples,win_rate,mean_running_value,std_running_value,bust_rate_at_k
1,48385,0.42664,13.6881,2.6367,0.0
2,46735,0.427795,17.1447,2.5438,0.06325
3,42240,0.433902,19.0271,2.645,0.124077
4,35755,0.44886,19.4691,3.5892,0.173095
5,28077,0.470207,18.8259,4.9428,0.206788
6,19438,0.503138,18.0441,5.9163,0.231454
7,11723,0.539879,17.2771,6.6854,0.23279
8,6209,0.572717,16.6662,7.3683,0.226929
9,2999,0.586529,16.4388,7.9221,0.250417
10,1308,0.607034,16.1724,8.7117,0.275994
11,476,0.611345,15.8763,9.8854,0.30042
12,147,0.646259,16.2144,10.657,0.251701
13,47,0.659574,14.9016,10.9021,0.234043
14,14,0.714286,16.3853,14.4738,0.285714
15,1,0.0,33.5154,0.0,1.0
