total_draws,samples,win_rate,mean_score,std_score,bust_rate,flip7_rate
0,1569,0.383684,0.0,0.0,0.0,0.0
1,1659,0.383363,6.8716,3.969,0.0,0.0
2,4495,0.365517,4.4859,7.2687,0.683871,0.0
3,6614,0.367856,4.0953,8.8739,0.807983,0.0
4,7331,0.356022,3.7155,9.8369,0.864139,0.0
5,7003,0.347565,4.0013,11.5657,0.883336,0.0
6,6391,0.368018,7.5791,17.7487,0.833203,0.0
7,5697,0.46112,18.1299,27.8446,0.684395,0.144111
8,4070,0.52285,25.5413,33.1881,0.598771,0.227273
9,2632,0.56155,32.4252,36.5349,0.525836,0.308891
10,1498,0.576769,35.8812,38.5987,0.5,0.345127
11,674,0.571217,37.7136,41.6555,0.510386,0.356083
12,256,0.554688,35.0156,41.2212,0.550781,0.335938
13,77,0.61039,44.6623,45.1821,0.480519,0.38961
14,26,0.730769,58.6538,46.1977,0.346154,0.538462
15,7,0.714286,70.8571,51.9435,0.285714,0.714286
16,1,0.0,0.0,0.0,1.0,0.0
