draw_number_k,samples,mean_expected_value,std_expected_value,marginal_gain_vs_prev_k
1,196674,13.679,2.6358,
2,189863,17.116,2.5182,3.4370254785252587
3,171393,18.9934,2.6165,1.8773753548667642
4,145175,19.4508,3.5473,0.4573396086736743
5,115749,18.688,5.0105,-0.7627806441828646
6,85883,17.2129,6.4214,-1.475107134012081
7,58059,15.5651,7.6124,-1.6477895556212534
8,34533,14.3336,8.3921,-1.2314746585911962
9,18633,13.155,8.9697,-1.1786068688483766
10,8925,12.2095,9.6722,-0.9454599454206036
11,3592,11.1944,10.3674,-1.0151697941210998
12,1285,10.0966,11.2335,-1.097762569722743
13,411,10.1282,11.092,0.03163633590981796
14,110,8.0663,13.5799,-2.0619570710518467
15,23,11.3481,15.8787,3.2818499768092035
16,3,9.8049,15.8079,-1.5432463599261297
